id	path	surface_kind	owner	boundary_direction	public_status	provider_specificity	auth_secret_risk	canonical_contract	proof_target	action	rationale
PMBD-INV-001	packages/agent/src/domains/model/mod.rs	boundary_root	model-domain-owner	internal model domain	canonical	none	none	model domain module docs	PMBD invariant	retain	model domain states provider-native stream/tool details are isolated below provider/protocol/responder boundaries
PMBD-INV-002	packages/agent/src/domains/model/providers/mod.rs	boundary_root	model-provider-owner	provider internals to model	canonical	provider families	low	Provider trait and protocol helper exports	PMBD invariant	retain	root provider docs define provider module isolation and fail-closed argument parsing
PMBD-INV-003	packages/agent/src/domains/model/providers/shared/provider.rs	provider_trait_error_options	model-provider-owner	provider to responder	canonical	all providers	medium	Provider trait, ProviderError, ProviderStreamOptions	provider unit tests	retain	shared provider trait and canonical provider error mapping are the black-box contract
PMBD-INV-004	packages/agent/src/domains/model/providers/factory/mod.rs	auth_custody	model-provider-owner	auth store to provider	canonical	all providers	high	DefaultProviderFactory	factory and auth tests	retain	factory reloads auth and creates provider instances with ephemeral credential copies
PMBD-INV-005	packages/agent/src/domains/model/responder/mod.rs	model_responder_boundary	model-domain-owner	agent runtime to provider	canonical	all providers	medium	ModelResponder, ModelResponseError, ModelProviderRequestAudit	responder unit tests	retain	only non-provider surface that opens streams, applies retry, maps errors, and builds provider audits
PMBD-INV-006	packages/agent/src/domains/model/protocol/capability_parsing.rs	protocol_helper	model-protocol-owner	provider stream to canonical capability	canonical	all providers	none	parse_capability_call_arguments	protocol unit tests	retain	fail-closed parsing rejects malformed and non-object capability arguments
PMBD-INV-007	packages/agent/src/domains/model/protocol/id_remapping.rs	protocol_helper	model-protocol-owner	canonical capability to provider request	canonical	OpenAI/Anthropic-like IDs	none	remap_invocation_id	protocol unit tests	retain	provider-specific invocation IDs are remapped at prompt serialization boundaries
PMBD-INV-008	packages/agent/src/domains/model/providers/shared/retry.rs	retry_boundary	model-provider-owner	responder to provider stream	canonical	all providers	medium	with_provider_retry	retry unit tests	retain	provider-neutral retry is bounded, cancellable, retry-after aware, and redacts retry event messages
PMBD-INV-009	packages/agent/src/domains/model/providers/shared/sse.rs	stream_parser	model-provider-owner	http response to provider handler	internal	all SSE providers	medium	SSE parser provider result	provider tests	retain	SSE parsing stays provider-side before canonical StreamEvent conversion
PMBD-INV-010	packages/agent/src/domains/model/providers/shared/error_parsing.rs	error_parser	model-provider-owner	provider HTTP response to ProviderError	internal	all HTTP providers	medium	ProviderError shared parsing	provider tests	retain	provider-native API failures are parsed before canonical failure mapping
