path	language	class	owner	dependency_direction
packages/agent/src/app/bootstrap/config.rs	rust	composition-root	rust:app-bootstrap	may wire concrete implementations listed by this inventory; no reusable domain logic
packages/agent/src/app/bootstrap/disk.rs	rust	composition-root	rust:app-bootstrap	may wire concrete implementations listed by this inventory; no reusable domain logic
packages/agent/src/app/bootstrap/mod.rs	rust	composition-root	rust:app-bootstrap	may wire concrete implementations listed by this inventory; no reusable domain logic
packages/agent/src/app/bootstrap/server.rs	rust	composition-root	rust:app-bootstrap	may wire concrete implementations listed by this inventory; no reusable domain logic
packages/agent/src/app/bootstrap/tests.rs	rust	test-support	rust:app-bootstrap	test-only helper; production code must not depend on it
packages/agent/src/app/bootstrap/tests/cli.rs	rust	test-support	rust:app-bootstrap	test-only helper; production code must not depend on it
packages/agent/src/app/bootstrap/tests/database.rs	rust	test-support	rust:app-bootstrap	test-only helper; production code must not depend on it
packages/agent/src/app/bootstrap/tests/provider_auth.rs	rust	test-support	rust:app-bootstrap	test-only helper; production code must not depend on it
packages/agent/src/app/bootstrap/tests/server_runtime.rs	rust	test-support	rust:app-bootstrap	test-only helper; production code must not depend on it
packages/agent/src/app/bootstrap/tests/source_guards.rs	rust	test-support	rust:app-bootstrap	test-only helper; production code must not depend on it
packages/agent/src/app/cli/mod.rs	rust	facade	rust:app	callers may depend on this narrow owner-approved surface only
packages/agent/src/app/health/metrics.rs	rust	implementation	rust:app	owner-private; callers must enter through the owner facade or contract
packages/agent/src/app/health/mod.rs	rust	facade	rust:app	callers may depend on this narrow owner-approved surface only
packages/agent/src/app/lifecycle/mod.rs	rust	facade	rust:app	callers may depend on this narrow owner-approved surface only
packages/agent/src/app/lifecycle/onboarding/mod.rs	rust	facade	rust:app	callers may depend on this narrow owner-approved surface only
packages/agent/src/app/lifecycle/shutdown.rs	rust	implementation	rust:app	owner-private; callers must enter through the owner facade or contract
packages/agent/src/app/mod.rs	rust	facade	rust:app	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/context/compaction_engine/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/context/compaction_engine/tests/estimation_orphans.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/context/compaction_engine/tests/mod.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/context/compaction_engine/tests/preview_execute.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/context/compaction_engine/tests/split_point.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/context/compaction_trigger.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/constants.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/context_manager/compaction_deps.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/context_manager/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/context/context_manager/snapshot_deps.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/context_manager/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/context/context_snapshot_builder.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/message_store.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/context/soul.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/summarizer.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/token_estimator.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/context/types.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/contract.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/deps.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/handlers.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/capability_invocation_executor/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/capability_invocation_executor/grant.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/capability_invocation_executor/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/compaction_handler/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/compaction_handler/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/errors.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/loop/event_emitter.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/orchestrator/agent_factory.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/agent_runner.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/capability_invocation_tracker.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/core/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/orchestrator/core/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/orchestrator/event_persister.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/invocation_abort_registry.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/orchestrator/recovery.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/session_context.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/session_manager/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/orchestrator/session_manager/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/orchestrator/session_reconstructor.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/streaming_journal.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/orchestrator/turn_accumulator/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/orchestrator/turn_accumulator/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/pipeline/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/pipeline/persistence.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/primitive_surface.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/profile_runtime.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/stream_processor/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/stream_processor/tests/drain.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/stream_processor/tests/mod.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/stream_processor/tests/stream_state.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/stream_state.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/stream_message.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/tron_agent/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/tron_agent/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/turn_runner/capability_invocations/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/turn_runner/capability_invocations/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/turn_runner/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/turn_runner/failure.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/turn_runner/params.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/loop/turn_runner/persistence/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/loop/turn_runner/persistence/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/turn_runner/result.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/turn_runner/tests.rs	rust	test-support	rust:domain-agent	test-only helper; production code must not depend on it
packages/agent/src/domains/agent/loop/turn_runner/turn_context.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/loop/types.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/prompt/commands.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/prompt/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/prompt/prompt.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/prompt/service.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/cleanup.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/runtime/runtime/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/runtime/runtime/session_update.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/runtime/user_event.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/agent_build.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/completion.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/context.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/deps.rs	rust	contract	rust:domain-agent	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/agent/runtime/service/events.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/execute.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/mod.rs	rust	facade	rust:domain-agent	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/agent/runtime/service/plan.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/request.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/runtime/service/spawn.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/stream.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/agent/worker.rs	rust	implementation	rust:domain-agent	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/contract.rs	rust	contract	rust:domain-auth	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/auth/credentials/accounts.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/credentials/anthropic.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/credentials/errors.rs	rust	contract	rust:domain-auth	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/auth/credentials/google.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/credentials/mod.rs	rust	facade	rust:domain-auth	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/auth/credentials/openai/mod.rs	rust	facade	rust:domain-auth	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/auth/credentials/openai/tests.rs	rust	test-support	rust:domain-auth	test-only helper; production code must not depend on it
packages/agent/src/domains/auth/credentials/pkce.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/credentials/provider_state.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/credentials/refresh.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/credentials/storage/mod.rs	rust	facade	rust:domain-auth	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/auth/credentials/storage/tests/credentials.rs	rust	test-support	rust:domain-auth	test-only helper; production code must not depend on it
packages/agent/src/domains/auth/credentials/storage/tests/extra_fields.rs	rust	test-support	rust:domain-auth	test-only helper; production code must not depend on it
packages/agent/src/domains/auth/credentials/storage/tests/google.rs	rust	test-support	rust:domain-auth	test-only helper; production code must not depend on it
packages/agent/src/domains/auth/credentials/storage/tests/mod.rs	rust	test-support	rust:domain-auth	test-only helper; production code must not depend on it
packages/agent/src/domains/auth/credentials/types/mod.rs	rust	contract	rust:domain-auth	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/auth/credentials/types/tests.rs	rust	test-support	rust:domain-auth	test-only helper; production code must not depend on it
packages/agent/src/domains/auth/deps.rs	rust	contract	rust:domain-auth	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/auth/handlers.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/mod.rs	rust	facade	rust:domain-auth	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/auth/oauth/flows.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/oauth/mod.rs	rust	facade	rust:domain-auth	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/auth/oauth/operations.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/auth/stream.rs	rust	implementation	rust:domain-auth	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/blob/mod.rs	rust	facade	rust:domain-blob	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/capability/contract.rs	rust	contract	rust:domain-capability	may be shared across the owning boundary without concrete implementation imports
packages/agent/src/domains/capability/mod.rs	rust	facade	rust:domain-capability	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/capability/operations/filesystem.rs	rust	implementation	rust:domain-capability	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/capability/operations/logs.rs	rust	implementation	rust:domain-capability	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/capability/operations/mod.rs	rust	facade	rust:domain-capability	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/capability/operations/process.rs	rust	implementation	rust:domain-capability	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/capability/operations/state.rs	rust	implementation	rust:domain-capability	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/capability/operations/trace.rs	rust	implementation	rust:domain-capability	owner-private; callers must enter through the owner facade or contract
packages/agent/src/domains/logs/mod.rs	rust	facade	rust:domain-logs	callers may depend on this narrow owner-approved surface only
packages/agent/src/domains/message/mod.rs	rust	facade	rust:domain-message	callers may depend on this narrow owner-approved surface only
