id	record_type	path_or_feature	surface_kind	owner	classification	current_state	required_before_restoration	server_impact	ios_impact	proof	regression_gate	scorecard_rows
BPRC-INV-001	baseline_reference	1545da37d3c6186fbc6613789bae3d4a5481f976	baseline_commit	branch-owner	active_current	current_baseline	Lineage anchor for BPRC	Anchors scorecard and branch handoff	None	git merge-base --is-ancestor 1545da37d3c6186fbc6613789bae3d4a5481f976 HEAD	baseline_pre_restoration_closure_invariants	BPRC-0
BPRC-INV-002	baseline_reference	https://github.com/iii-hq/iii	iii_reference	architecture-owner	external_reference	current_baseline	Use worker/function/trigger model as alignment target	Constrains restoration to worker-owned catalog entries	Constrains iOS to catalog/runtime projections	Web inspection of iii README	baseline_pre_restoration_closure_invariants	BPRC-0,BPRC-5,BPRC-9
BPRC-INV-003	artifact	packages/agent/docs/baseline-pre-restoration-closure-scorecard.md	scorecard	bprc-docs-owner	static_gate	current_baseline	Closed 100 point pre-restoration scorecard	Defines no-feature cleanup closure	Defines no fixed-panel scope	baseline_pre_restoration_closure_invariants parses rows	baseline_pre_restoration_closure_invariants	BPRC-0,BPRC-10
BPRC-INV-004	artifact	packages/agent/docs/baseline-pre-restoration-closure-evidence-manifest.md	evidence_manifest	bprc-docs-owner	static_gate	current_baseline	Command evidence and failed-attempt log	Records verification for baseline closure	Records iOS no-source-change or drift checks	baseline_pre_restoration_closure_invariants checks required commands	baseline_pre_restoration_closure_invariants	BPRC-7,BPRC-10
BPRC-INV-005	artifact	packages/agent/docs/baseline-pre-restoration-closure-inventory.md	inventory	bprc-docs-owner	static_gate	current_baseline	Human-readable inventory and entry contract	Classifies substrate and backlog	Classifies iOS restoration constraints	baseline_pre_restoration_closure_invariants checks vocabulary	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-8,BPRC-9
BPRC-INV-006	artifact	packages/agent/docs/baseline-pre-restoration-closure-inventory.tsv	inventory	bprc-docs-owner	static_gate	current_baseline	Machine-readable artifact and restoration backlog	Feeds future restoration planning	Feeds iOS parity planning	baseline_pre_restoration_closure_invariants parses TSV	baseline_pre_restoration_closure_invariants	BPRC-2,BPRC-8,BPRC-9
BPRC-INV-007	artifact	packages/agent/tests/baseline_pre_restoration_closure_invariants.rs	invariant_test	bprc-test-owner	static_gate	current_baseline	Static and source-backed BPRC guard	Rejects unapproved restored product surfaces and tool widening; approved Phase 2 restorations require Phase 2 inventory lineage	Rejects fixed product panels	cargo test --test baseline_pre_restoration_closure_invariants	baseline_pre_restoration_closure_invariants	BPRC-3,BPRC-7,BPRC-10
BPRC-INV-008	artifact	README.md	root_doc	root-docs-owner	active_current	current_baseline	Canonical docs map and testing list	Documents current baseline and entry contract	Documents iOS baseline shell	baseline_pre_restoration_closure_invariants checks references	baseline_pre_restoration_closure_invariants	BPRC-1,BPRC-5,BPRC-7
BPRC-INV-009	artifact	scripts/tron.d/quality.sh	local_gate	quality-owner	static_gate	current_baseline	Local closeout target set includes BPRC in parity order	Adds BPRC before primitive trace/integration	No direct iOS behavior change	Target parser parity check	baseline_pre_restoration_closure_invariants	BPRC-7,BPRC-10
BPRC-INV-010	artifact	.github/workflows/ci.yml	github_gate	ci-owner	static_gate	current_baseline	GitHub rust-static-gates mirrors local BPRC order	Adds BPRC to CI static gates	No direct iOS behavior change	Target parser parity check	baseline_pre_restoration_closure_invariants	BPRC-7,BPRC-10
