operation	family	currentOwner	ownershipClass	replacementTarget	contractScore	authorityScore	evidenceScore	providerSafetyScore	replayScore	bindingScore	rollbackScore	visibilityScore	testScore	nextAction
observe	core	domains::capability::operations::common	kernel_locked	kernel_diagnostic_stays_engine_owned	3	3	3	3	3	0	0	2	3	none
state_get	state	domains::capability::operations::state	kernel_locked	session_scratch_state_stays_engine_owned_until_new_state_plane	2	3	2	3	2	0	0	1	2	document
state_set	state	domains::capability::operations::state	kernel_locked	session_scratch_state_stays_engine_owned_until_new_state_plane	2	3	2	3	2	0	0	1	2	document
state_list	state	domains::capability::operations::state	kernel_locked	session_scratch_state_stays_engine_owned_until_new_state_plane	2	3	2	3	2	0	0	1	2	document
filesystem_read	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_list	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_find	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_glob	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_search_text	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
filesystem_diff	filesystem	domains::capability::operations::filesystem + domains::filesystem	adapter_replaceable	future_filesystem_adapter_requires_exact_root_authority_preview_commit_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	2	3	2	2	1	2	3	shadow_trial
