id	surface	family	owner	audience	replacementClass	agentDefaultVisibility	purpose	effect	risk	authorityBoundary	evidenceBoundary	minimalityDecision	evolutionPath	nextAction	notes
capability_binding_decision_inspect	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_decision_list	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_decision_record	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_policy_activate	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_cockpit_overview	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_policy_inspect	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_policy_list	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_request_inspect	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_request_list	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_binding_request_record	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	binding_policy_governance_pipeline
capability_replacement_candidate_inspect	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	candidate_governance_pipeline
capability_replacement_candidate_list	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	candidate_governance_pipeline
capability_replacement_candidate_record	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	candidate_governance_pipeline
capability_route_activate	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	runtime_route_governance_pipeline
capability_route_binding_inspect	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	runtime_route_governance_pipeline
capability_route_binding_list	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	runtime_route_governance_pipeline
capability_route_binding_record	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	runtime_route_governance_pipeline
capability_route_disable	agent_operation	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance	kernel_evolution_only	search_visible	agent_governs_future_capability_replacement	execute_contract	execute_contract	server_owned_governance_policy_and_exact_selectors	durable_governance_records_and_audit_refs_required	keep_governance	source_candidate_validation_adversarial_review_user_approved_integration	preserve_as_replacement_trust_pipeline	runtime_route_governance_pipeline
