path	language	surface	observed_signal	correlation_ids	redaction_boundary	retention_or_query_behavior	proof_target	oda_rows
packages/agent/docs/observability-diagnostics-auditability-scorecard.md	markdown	static_gate	campaign ledger and closure state	ODA row ids	no secrets by documentation scope	completed scorecard with row weights	observability_diagnostics_auditability_invariants	ODA-0,ODA-9
packages/agent/docs/observability-diagnostics-auditability-evidence-manifest.md	markdown	static_gate	evidence rows and verification log	ODA row ids	no secrets by documentation scope	append-style evidence ledger	observability_diagnostics_auditability_invariants	ODA-0,ODA-9
packages/agent/docs/observability-diagnostics-auditability-inventory.md	markdown	static_gate	inventory taxonomy	ODA row ids	no secrets by documentation scope	coverage policy for observed owners	observability_diagnostics_auditability_invariants	ODA-1,ODA-9
packages/agent/docs/observability-diagnostics-auditability-inventory.tsv	tsv	static_gate	machine-readable inventory	ODA row ids	no secrets by documentation scope	tracked observed paths with proof targets	observability_diagnostics_auditability_invariants	ODA-1,ODA-9
packages/agent/tests/observability_diagnostics_auditability_invariants.rs	rust	static_gate	invariant target module	ODA target id	no runtime secrets	static closeout gate	scripts/tron ci test	ODA-0,ODA-9
packages/agent/tests/observability_diagnostics_auditability/mod.rs	rust	static_gate	focused ODA modules	ODA module names	no runtime secrets	static closeout gate	observability_diagnostics_auditability_invariants	ODA-0,ODA-9
packages/agent/tests/observability_diagnostics_auditability/support.rs	rust	static_gate	repo parsing helpers	ODA path constants	no runtime secrets	static file and TSV parsing	observability_diagnostics_auditability_invariants	ODA-0,ODA-1
packages/agent/tests/observability_diagnostics_auditability/scorecard_inventory.rs	rust	static_gate	scorecard evidence inventory gates	ODA rows and paths	no runtime secrets	static campaign validation	observability_diagnostics_auditability_invariants	ODA-0,ODA-1,ODA-9
packages/agent/tests/observability_diagnostics_auditability/source_guards.rs	rust	static_gate	source-level ODA guards	traceId sessionId workspaceId	no runtime secrets	static owner validation	observability_diagnostics_auditability_invariants	ODA-2,ODA-3,ODA-4,ODA-5,ODA-6,ODA-7,ODA-8
README.md	markdown	static_gate	canonical project docs	session workspace trace IDs	no secrets by documentation scope	README living-doc and protocol docs	observability_diagnostics_auditability_invariants	ODA-0,ODA-4,ODA-8,ODA-9
scripts/tron.d/quality.sh	shell	static_gate	local closeout target list	observability_diagnostics_auditability_invariants	no secrets by script scope	named Rust closeout targets	scripts/tron ci test	ODA-0,ODA-9
.github/workflows/ci.yml	yaml	static_gate	GitHub static-gate target list	observability_diagnostics_auditability_invariants	no secrets by workflow scope	Rust static gates	observability_diagnostics_auditability_invariants	ODA-0,ODA-9
packages/agent/src/domains/session/event_store/mod.rs	rust	session_event	event-store owner docs	session workspace trace invocation provider IDs	redaction delegated to store owners	owner APIs for events logs traces	ODA source guards	ODA-1,ODA-2,ODA-4
packages/agent/src/domains/session/event_store/store/event_store/logs.rs	rust	server_logs	client log ingest and recent queries	sessionId workspaceId traceId	row messages redacted and truncated before storage	bounded recent query with exact session workspace trace filters	domains::session::event_store tests	ODA-4
packages/agent/src/domains/logs/mod.rs	rust	server_logs	logs domain worker	log row id sessionId workspaceId traceId	storage owner redacts before durable write	limit capped and filters honored before response	domains::logs tests	ODA-4
packages/agent/src/domains/capability/operations/logs.rs	rust	server_logs	model-facing log_recent operation	sessionId traceId	current-session trusted context required	limit capped with session plus global query	primitive_trace_execution and ODA guards	ODA-2,ODA-4
packages/agent/src/domains/capability/operations/trace.rs	rust	server_trace	trace_list trace_get trace record build	traceId invocationId parentInvocationId providerInvocationId sessionId workspaceId	request/result hashed and metadata bounded	trace list limit capped and current-session scoped	primitive_trace_execution	ODA-2
packages/agent/src/domains/capability/operations/mod.rs	rust	server_trace	execute operation dispatch and trace wrapping	invocationId traceId providerInvocationId	errors summarized through capability result	records running before effect and completion after effect	primitive_trace_execution	ODA-2,ODA-3
packages/agent/src/domains/session/event_store/trace.rs	rust	server_trace	AgentTraceRecord type	traceId invocationId parentInvocationId providerInvocationId sessionId workspaceId	no raw credential fields in type	list options bounded by session and trace	ODA source guards	ODA-2
packages/agent/src/domains/session/event_store/sqlite/repositories/trace.rs	rust	server_trace	trace_records repository	traceId invocationId sessionId providerInvocationId	record_json stored as JSON	list limit clamped 1 to 500 and replay order stable	primitive_trace_execution	ODA-2
packages/agent/src/domains/session/event_store/store/event_store/trace_log.rs	rust	server_trace	EventStore trace facade	traceRecordId traceId sessionId	no redaction performed at facade	owner write lock for append and update	primitive_trace_execution	ODA-2
