path	classification	owner	cleanup_row	reason
AGENTS.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
README.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-evidence-manifest.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-inventory.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-ios-current-ownership-map.tsv	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-ios-project-map.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-plan-summary.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/hierarchical-rearchitecture-scorecard.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/post-aha-adversarial-closeout-evidence-manifest.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/post-aha-adversarial-closeout-scorecard.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/post-hra-adversarial-hardening-evidence-manifest.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/post-hra-adversarial-hardening-plan-summary.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/post-hra-adversarial-hardening-scorecard.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-code-cleanup-evidence-manifest.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-code-cleanup-file-inventory.tsv	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-code-cleanup-inventory.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-code-cleanup-scorecard.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-engine-teardown-evidence-manifest.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-engine-teardown-inventory.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/primitive-engine-teardown-scorecard.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/true-primitive-cleanup-evidence-manifest.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/true-primitive-cleanup-retention-inventory.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/true-primitive-cleanup-retention-inventory.tsv	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/docs/true-primitive-cleanup-scorecard.md	docs	docs/static gates	TPC-10	durable architecture, scorecard, inventory, or evidence documentation
packages/agent/src/app/bootstrap/config.rs	support	app_bootstrap	TPC-9	server bootstrap, CLI, health, lifecycle, or shutdown support
packages/agent/src/app/bootstrap/disk.rs	support	app_bootstrap	TPC-9	server bootstrap, CLI, health, lifecycle, or shutdown support
