id	path	language	surface	current_role	saa_rows	proof	residual_risk
SAA-INV-001	packages/agent/docs/self-adapting-agent-authorship-scorecard.md	markdown	closeout_gate	scorecard source of truth	SAA-0,SAA-10	scorecard rows and closeout notes	future rows need new campaign artifact
SAA-INV-002	packages/agent/docs/self-adapting-agent-authorship-evidence-manifest.md	markdown	closeout_gate	evidence manifest	SAA-0,SAA-9,SAA-10	row evidence and verification log	verification results must stay current
SAA-INV-003	packages/agent/docs/self-adapting-agent-authorship-inventory.md	markdown	closeout_gate	inventory taxonomy	SAA-1,SAA-10	surface classes and coverage policy	new source surfaces need inventory rows
SAA-INV-004	packages/agent/docs/self-adapting-agent-authorship-inventory.tsv	tsv	closeout_gate	machine-readable inventory	SAA-1,SAA-10	static TSV parser gate	row coverage can lag without static checks
SAA-INV-005	packages/agent/tests/self_adapting_agent_authorship_invariants.rs	rust	closeout_gate	invariant target root	SAA-0,SAA-10	cargo integration target	target must remain in closeout lists
SAA-INV-006	packages/agent/tests/self_adapting_agent_authorship/mod.rs	rust	closeout_gate	focused module list	SAA-0,SAA-10	static module declaration	new modules must stay declared
SAA-INV-007	packages/agent/tests/self_adapting_agent_authorship/support.rs	rust	authorship_fixture	isolated runtime and grant helper	SAA-4,SAA-5,SAA-9	execute fixture support	fixture remains in-memory scale
SAA-INV-008	packages/agent/tests/self_adapting_agent_authorship/resource_fixtures.rs	rust	authorship_fixture	executable SAA resource fixtures	SAA-4,SAA-5,SAA-6,SAA-9	creates resources through execute	does not run production sessions
SAA-INV-009	packages/agent/tests/self_adapting_agent_authorship/scorecard_inventory.rs	rust	closeout_gate	scorecard and inventory static gates	SAA-0,SAA-1,SAA-10	weights links stale-word checks	static only verifies declared artifacts
SAA-INV-010	packages/agent/tests/self_adapting_agent_authorship/source_guards.rs	rust	closeout_gate	source boundary static gates	SAA-2,SAA-3,SAA-6,SAA-7,SAA-8	source string guards	require updates when source names change
SAA-INV-011	packages/agent/src/domains/capability/contract.rs	rust	model_surface	execute provider schema	SAA-2,SAA-4	one provider-visible tool and resource fields	provider adapters must preserve schema
SAA-INV-012	packages/agent/src/domains/capability/mod.rs	rust	model_surface	capability worker docs and handler	SAA-2	progressive disclosure invariant	docs must track execute operations
SAA-INV-013	packages/agent/src/domains/capability/operations/mod.rs	rust	execute_operation	execute operation dispatcher and guards	SAA-2,SAA-4,SAA-8	resource scope rejection and trace path	new operations must keep trace policy
SAA-INV-014	packages/agent/src/domains/capability/operations/resource.rs	rust	execute_operation	resource operation adapter	SAA-2,SAA-4,SAA-5	generic resource_create update link inspect list	authorization depends on child grant
