id	path	language	surface	owner	schema_or_path_mechanism	lock_or_transaction_behavior	generation_or_version_behavior	crash_restart_or_archive_behavior	verification	dsemd_rows
DSEMD-INV-001	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-scorecard.md	Markdown	campaign_harness	storage-hardening-owner	Weighted DSEMD scorecard	Reviewed by invariant target	Scorecard status gates closeout	Records current slice status	DSEMD invariant	DSEMD-0,DSEMD-9
DSEMD-INV-002	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-evidence-manifest.md	Markdown	campaign_harness	storage-hardening-owner	Command evidence manifest	Records only commands actually run	Evidence rows map to scorecard rows	Prevents unbacked closeout claims	DSEMD invariant	DSEMD-0,DSEMD-9
DSEMD-INV-003	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.md	Markdown	campaign_harness	storage-hardening-owner	Human-readable inventory taxonomy	Inventory gates require structured TSV	Describes clean-break storage policy	Documents surface coverage	DSEMD invariant	DSEMD-0,DSEMD-1
DSEMD-INV-004	packages/agent/docs/data-integrity-storage-evolution-migration-discipline-inventory.tsv	TSV	campaign_harness	storage-hardening-owner	Per-path storage surface inventory	No runtime mutation	Classifies generation or version owner	Covers required storage surfaces	DSEMD invariant	DSEMD-0,DSEMD-1
DSEMD-INV-005	packages/agent/tests/data_integrity_storage_evolution_migration_discipline_invariants.rs	Rust	campaign_harness	storage-hardening-owner	Static invariant target	Runs as closeout target	Rejects stale status after completion	Guards source/docs/CI drift	self-test	DSEMD-0,DSEMD-8,DSEMD-9
DSEMD-INV-006	README.md	Markdown	campaign_harness	readme-owner	Living-doc and database/install docs	No runtime mutation	Documents `modular-engine-v4` storage generation	Documents archive and lock semantics	README static guard	DSEMD-0,DSEMD-1,DSEMD-4,DSEMD-7
DSEMD-INV-007	scripts/tron.d/quality.sh	Shell	campaign_harness	local-ci-owner	Closeout target list	Runs named tests explicitly	No storage generation	Ensures local CI includes DSEMD invariant	DSEMD invariant	DSEMD-0,DSEMD-9
DSEMD-INV-008	.github/workflows/ci.yml	YAML	campaign_harness	github-ci-owner	Rust static-gates list	Runs named tests explicitly	No storage generation	Ensures GitHub static gates include DSEMD invariant	DSEMD invariant	DSEMD-0,DSEMD-9
DSEMD-INV-009	packages/agent/src/shared/foundation/paths/mod.rs	Rust	path_policy	foundation-paths-owner	Canonical Tron home path helpers	No DB transaction	Directory constants are single source	Risk is wrong home; home resolution fails loudly	path tests	DSEMD-1,DSEMD-7
DSEMD-INV-010	packages/agent/src/domains/settings/profile/db_path_policy.rs	Rust	path_policy	settings-owner	Production DB path must be `<tron-home>/internal/database/tron.sqlite`	Startup validation before DB open	Canonical filename derives from shared storage constant	Rejects alternate filenames, wrong dirs, symlinks	db_path_guard	DSEMD-1,DSEMD-3,DSEMD-7
DSEMD-INV-011	packages/agent/src/app/bootstrap/mod.rs	Rust	path_policy	bootstrap-owner	Startup resolves production DB path and opens unified pool	Acquires process flock before pool open	Prepares active DB generation before writes	Integrity check and migrations run before traffic	SOL/bootstrap guards	DSEMD-1,DSEMD-3,DSEMD-4
DSEMD-INV-012	packages/agent/src/shared/storage/mod.rs	Rust	shared_storage	shared-storage-owner	Unified `tron.sqlite` runtime facade	Operation connections apply runtime pragmas	`CURRENT_STORAGE_GENERATION` marker owns clean break	StorageRuntime owns startup, checkpoint, export, stats	shared::storage tests	DSEMD-1,DSEMD-2,DSEMD-3,DSEMD-4
DSEMD-INV-013	packages/agent/src/shared/storage/archive.rs	Rust	shared_storage	shared-storage-owner	Archives active DB and WAL/SHM sidecars	Rename operations are one-way file moves	Inspects `storage_generation` marker	Fails closed on inspection error; writes `archive-manifest.json`	shared::storage tests	DSEMD-2,DSEMD-4,DSEMD-8
DSEMD-INV-014	packages/agent/src/shared/storage/schema.rs	Rust	shared_storage	shared-storage-owner	Shared metadata/blob/payload-ref schema	`SAVEPOINT tron_storage_schema` rollback on drift	Rejects mismatched `storage_generation` marker	Verifies payload refs do not dangle	shared::storage tests	DSEMD-2,DSEMD-3,DSEMD-8
