id	feature_family	old_evidence_paths	current_replacement_or_gap	classification	primitive_owner	capability_owner	ios_surface	authority_data_owner	memory_involvement	backend_dependency	recommended_slice	user_decision_needed	validation_requirement	status	bprc_refs	iarm_refs	scorecard_rows
P2AER-INV-001	engine primitive substrate	README.md;packages/agent/src/lib.rs;packages/agent/src/domains/mod.rs;packages/agent/docs/baseline-pre-restoration-closure-inventory.tsv	Current substrate exists: execute primitive, catalog, grants, resources, queues, streams, triggers, ledger, replay, event store, external-worker protocol.	true_primitive	engine owner	none	README/server facts	engine-owned resources and events	audit_only	engine_substrate	Slice 0	Confirm provider-visible execute remains singular.	PCC/TPC/HRA/BPRC/SSARR invariants plus README audit	current_baseline	BPRC-INV-012;BPRC-INV-013;BPRC-INV-014;BPRC-INV-015;BPRC-INV-016	IARM-SURFACE-022	P2AER-0;P2AER-3;P2AER-6
P2AER-INV-002	capability discovery catalog routing intent conformance	packages/agent/docs/primitive-baseline-vs-modular-capability-engine-feature-index.md#1-capability-discovery-routing-and-intent-execution;packages/agent/docs/baseline-pre-restoration-closure-inventory.tsv	Slice 1 implemented native `catalog_discovery::{search,inspect,conformance_report}` plus `execute` operations `catalog_search`, `catalog_inspect`, and `catalog_conformance`; search/inspect read metadata only and reports write durable evidence without executing discovered targets.	modular_capability_package	engine catalog/resource/stream owners	catalog_discovery package	Runtime Cockpit Discovery tab	server catalog/resources/streams	audit_only	module_contract	Slice 1	Runtime Cockpit selected; chat remains quiet unless attention is required.	Catalog visibility, protected omission, conformance resource/stream, replay/trace, iOS DTO/projection/client, SACB static guards	current_baseline	BPRC-FEATURE-01	IARM-SURFACE-005;IARM-SURFACE-007;IARM-SURFACE-008	P2AER-1;P2AER-2;P2AER-5
P2AER-INV-003	current workspace browser	packages/agent/docs/ios-affordance-restoration-progress.md#accepted-follow-up-work-server-backed-workspace-browser;packages/agent/src/domains/filesystem/mod.rs	Restored only get_home, list_dir, create_dir for paired-Mac workspace selection.	server_fact_rendering_only	filesystem workspace-browser domain	none	WorkspaceSelector server facts	filesystem domain	none	none	Slice 0	Keep current selector boundary separate from agent file tools.	Filesystem service tests, workspace selector tests, IARM invariant	current_baseline	BPRC-FEATURE-02	IARM-SURFACE-029;IARM-SURFACE-035	P2AER-0;P2AER-7
P2AER-INV-004	filesystem agent tool suite path authority sandbox previews	feature index section 2;IARM-SURFACE-035	Slice 4 implements bounded `filesystem_read`, `filesystem_list`, `filesystem_find`, `filesystem_glob`, `filesystem_search_text`, `filesystem_diff`, `filesystem_write`, `filesystem_edit`, and `filesystem_apply_patch` execute operations backed by the filesystem domain; paths resolve from trusted working-directory metadata, traversal/symlink escapes are denied, read/search/diff output is bounded, binary previews omit content, and mutating previews/commits create resource-backed patch/materialized-file evidence.	modular_capability_package	authority grants and resource kernel	filesystem package	generic result first; native file or patch review only after contract	filesystem package resources	audit_only	module_contract	Slice 4	Future user decision still needed for package-wide approval triggers and native destructive patch review UX.	Path traversal, symlink, bounded read/search/list, binary preview, diff/patch, idempotency, rollback evidence, replay/resource evidence, provider execute boundary, and iOS generic rendering checks	current_baseline	BPRC-FEATURE-02	IARM-SURFACE-035	P2AER-2;P2AER-5;P2AER-6
P2AER-INV-005	jobs processes shells long-running tasks cancel logs	feature index section 3;IARM-SURFACE-024	Slice 5A implements durable non-interactive jobs through a jobs domain, `job_process` resources, bounded `execution_output` artifacts, `jobs.lifecycle` stream evidence, start/status/list/log/cancel execute operations, direct cleanup, fail-closed `networkPolicy: none`, owned process-group timeout/cancel/shutdown cleanup, cancel-request-before-terminal finalization with stale-version retry, and retention archiving; PTY, native process UI, interpreters, web/git/subagent/scheduler behavior, and queue-backed internal dispatch remain deferred.	modular_capability_package	resource/stream/authority/trace/replay/output primitives	jobs package	generic job result/resource surface first; native process UI after protocol	job_process and execution_output resources	audit_only	module_contract	Slice 5A	Defer PTY/native UI/interpreter/network/git/subagent/scheduling decisions; queued internal dispatch requires a later grant model.	Job start/status/list/log/cancel, terminal idempotency, bounded output, timeout, inherited-pipe background child cleanup, process-exit/cancel race, forced cancel-request/finalization version conflict retry, shutdown cancellation, resource/schema/output contracts, fail-closed network policy, cleanup retention, SACB/TMB/CSD/PERF static guards	current_baseline	BPRC-FEATURE-03	IARM-SURFACE-024	P2AER-2;P2AER-5;P2AER-6
P2AER-INV-006	code interpreter program execution	feature index section 15	Accepted Slice 15A adds backend-only `domains/program_execution`, built-in `program_execution_record` resources, `program_execution.lifecycle` stream evidence, and execute-only `program_execution_record`, `program_execution_list`, and `program_execution_inspect` operations for content-free program execution metadata only. It stores runtime/language identifiers, resource-limit policy, I/O-envelope metadata, refs/fingerprints, lifecycle/trace/replay refs, and fingerprinted idempotency evidence while rejecting raw code, raw stdin/stdout/stderr, command strings, shell snippets, package-manager directives, runtime execution, process launch, file writes, live network behavior, unsafe paths, secrets, token-like material, and provider-visible raw payloads.	modular_capability_package	job/resource primitives	program_execution package	generic output surface first	program_execution_record resources	audit_only	module_contract	Slice 15A accepted	Choose supported runtime execution architecture, interpreter isolation, dependency/package policy, deterministic I/O materialization, and any native program-output UX after the accepted metadata foundation.	Exact program_execution authority/resource selectors, `programExecutionResourceId` authorization scanner coverage, bounded/redacted projections, deterministic injected timestamps with no program-execution DRC finding, no raw code/IO/command/path leakage, no runtime/process/package/network/file-write side effects	current_baseline	BPRC-FEATURE-15	IARM-SURFACE-035	P2AER-2;P2AER-5
P2AER-INV-007	worker protocol lifecycle resource leases conformance	packages/agent/docs/self-updating-worker-runtime-foundation-inventory.md;feature index section 6	Accepted Slice 9B adds read-only execute inspection operations worker_package_list and worker_package_inspect for bounded/redacted existing lifecycle records with explicit read grants, stored kind/schema revalidation, current-session/workspace scoping, direct authority-grant and grant-like metadata redaction, and no lifecycle mutation.	true_primitive	engine runtime and worker_lifecycle	worker package lifecycle	Agent Cockpit server facts	worker_package resources	audit_only	engine_substrate	Slice 9B accepted	Review package signing/source identity, agent self-proposal policy, and whether a later native package UI is warranted after the read-only backend proof.	Manifest, scoped token, conformance, resource lease, SACB external-worker tests, worker_package list/inspect authority/scope/kind/schema/bounds/redaction tests, provider schema non-goal rejection, and static inventory coverage	current_baseline	BPRC-FEATURE-06	IARM-SURFACE-022;IARM-SURFACE-032	P2AER-3;P2AER-6
P2AER-INV-008	self-extension MCP plugins external tool sources	feature index sections 6 and 14;IARM-SURFACE-032	Accepted Slice 9A adds an inert `tool_sources` domain, resource-backed `tool_source_proposal` and `tool_source_conformance_report` records, trusted internal-only proposal/report writes, and read-only execute operations `tool_source_list` and `tool_source_inspect`; live MCP start/restart, package install, catalog registration, tool execution, trust promotion, public `/engine` API expansion, browser/search/crawl/login scope, and native fixed UI remain absent.	modular_capability_package	catalog/grant/resource/worker protocol	source_package and MCP packages	Generic resource rendering first; Agent Cockpit source UI after full contract	tool_source_proposal and tool_source_conformance_report resources	audit_only	module_contract	Slice 9A	Define trusted source roots, MCP trust policy, package signing, install/enable workflow, and native source UI in later slices.	Tool-source proposal authority, idempotency, session isolation, secret rejection, unsafe path rejection, schema bounding/truncation, report creation, resource definitions, no activation/catalog registration, static non-goal guards, and independent review/fix-loop acceptance	current_baseline	BPRC-FEATURE-06;BPRC-FEATURE-14	IARM-SURFACE-032	P2AER-2;P2AER-5
P2AER-INV-009	subagents delegation worker launching	feature index section 7;IARM-SURFACE-026	Accepted Slice 10A adds inert `subagents` domain coverage and one `subagent_task` resource kind for lifecycle/provenance records. Accepted Slice 10B keeps `subagent_task` as the durable parent causality anchor and adds controlled `subagent_launch`, `subagent_status`, `subagent_result`, and `subagent_cancel` execute operations with explicit bounded placeholder model policy, one-running-task-per-scope concurrency, idempotency/freshness, bounded/redacted status/result projections, cancellation provenance, trace/replay refs, and proof that no worker/job/process/tool/network/package/result-merge side effects occurred.	modular_capability_package	resources/streams/grants	subagents domain	generic result first; native subagent chips after contract	subagent_task resources	audit_only	module_contract	Slice 10B accepted	Real child-agent execution, model-profile policy, approval triggers, result merge UX, actual spawn/status/result/cancel workers and iOS chips/sheets remain deferred, and native subagent chips remain later decisions for separately scoped slices.	Subagent launch/status/result/cancel, parent causality refs, authority denial, runtime grant/pre-handler authorization, scope isolation, kind/schema revalidation, untrusted stored-payload projection redaction/bounding, fail-closed broad selector denial, placeholder model policy denial, concurrency denial, cancellation stale-version/idempotency, bounded result/log evidence, no-worker/no-job/no-process/no-network static guards	current_baseline	BPRC-FEATURE-07	IARM-SURFACE-026	P2AER-2;P2AER-5
P2AER-INV-010	goals queues questions task planning user inbox	feature index section 8;IARM-SURFACE-027;IARM-SURFACE-028	Accepted Slice 7A adds execute-only durable backend goal/question lifecycle records, idempotent answer provenance, bounded lifecycle stream evidence, queue/resource refs, trace refs, and replay refs; goal execution, autonomous planning, prompt queue, work snapshot, native Work dashboard, ask_user UI, and answer submission UI remain absent until later contract/UI slices.	modular_capability_package	queue/resource/stream primitives	goals package	generic runtime/resource rendering first; Work dashboard or question sheet after backend contract	goal, user_question, and goal_answer resources	reads_memory	module_contract	Slice 7A	Default autonomy, interruption policy, and native Work/question UI remain later user decisions after backend proof.	Goal lifecycle, question lifecycle, answer expected-version/idempotency, expiry, scope isolation, bounded output, stream/replay refs, provider execute routing, resource authority/scope checks, and resource schema tests	current_baseline	BPRC-FEATURE-08	IARM-SURFACE-027;IARM-SURFACE-028	P2AER-1;P2AER-2;P2AER-5
