id	path	surface_kind	owner	release_risk	current_discipline	proof	scorecard_rows
RIURD-INV-001	packages/agent/docs/release-install-upgrade-rollback-discipline-scorecard.md	docs_ci	riurd-owner	scorecard can claim completion without source proof	Rows RIURD-0..10 sum to 100 and are closed	release_install_upgrade_rollback_discipline_invariants	RIURD-0,RIURD-8,RIURD-9,RIURD-10
RIURD-INV-002	packages/agent/docs/release-install-upgrade-rollback-discipline-evidence-manifest.md	docs_ci	riurd-owner	evidence can drift from actual commands	Manifest records source findings and verification matrix	release_install_upgrade_rollback_discipline_invariants	RIURD-0,RIURD-8,RIURD-10
RIURD-INV-003	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.md	docs_ci	riurd-owner	narrative inventory can omit install owners	Taxonomy and canonical rules summarize lifecycle ownership	release_install_upgrade_rollback_discipline_invariants	RIURD-1,RIURD-8
RIURD-INV-004	packages/agent/docs/release-install-upgrade-rollback-discipline-inventory.tsv	docs_ci	riurd-owner	machine inventory can miss source surfaces	TSV rows require tracked paths, known surfaces, and scorecard coverage	release_install_upgrade_rollback_discipline_invariants	RIURD-1,RIURD-9
RIURD-INV-005	packages/agent/tests/release_install_upgrade_rollback_discipline_invariants.rs	docs_ci	riurd-owner	static gate can drift from CI	Local and GitHub quality gates include this target	scripts/tron.d/quality.sh and CI	RIURD-8,RIURD-9,RIURD-10
RIURD-INV-006	scripts/tron	cli	cli-owner	workspace dispatcher could reintroduce hidden deploy aliases	Only explicit manual-deploy command dispatches contributor deploy	release_install_upgrade_rollback_discipline_invariants	RIURD-1,RIURD-3
RIURD-INV-007	scripts/tron-cli	cli	cli-owner	installed CLI could start workspace deploy unexpectedly	Runtime commands handled locally; dev/manual-deploy delegate only to recorded workspace	release_install_upgrade_rollback_discipline_invariants	RIURD-1,RIURD-3
RIURD-INV-008	scripts/tron-lib.sh	cli	cli-owner	path and port constants can fork	Shared constants own PROD_PORT, release app path, contributor bundles, plist labels, and Tron home layout	release_install_upgrade_rollback_discipline_invariants	RIURD-1,RIURD-2,RIURD-4
RIURD-INV-009	scripts/tron.d/dev.sh	dev_server	cli-owner	dev takeover could fight installed helper on port 9847	Stops dev takeover and installed service, waits for port free, launches Tron-Dev.app, restores installed helper after health	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-3
RIURD-INV-010	scripts/tron.d/manual-deploy.sh	manual_deploy	cli-owner	contributor deploy could run against active dev or soft-pass unhealthy helper	Refuses active dev listener, uses backup, health-gates success, rollback, deployed commit, and restart sentinel	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-3,RIURD-5
RIURD-INV-011	scripts/tron.d/quality.sh	docs_ci	quality-owner	local CI can omit release/install static gate	closeout_test_targets includes release_install_upgrade_rollback_discipline_invariants	release_install_upgrade_rollback_discipline_invariants	RIURD-8,RIURD-9,RIURD-10
RIURD-INV-012	scripts/tron.d/workspace.sh	cli	cli-owner	workspace helper could create alternate service behavior	Workspace helpers remain shared runtime support and do not add deploy aliases	shell audit	RIURD-1,RIURD-3
RIURD-INV-013	scripts/tron-lib.d/service.sh	service_manager	cli-owner	start restart rollback could treat launchd loaded as success	Shared service helpers own health-gated start, dev restore, stop, status, uninstall, and rollback	release_install_upgrade_rollback_discipline_invariants	RIURD-2,RIURD-4,RIURD-5
RIURD-INV-014	scripts/tron-lib.d/logs.sh	manual_deploy	cli-owner	deploy result provenance could record wrong commit	Result writer accepts explicit commit and previous commit context	release_install_upgrade_rollback_discipline_invariants	RIURD-5
RIURD-INV-015	scripts/tron-lib.d/bundle.sh	manual_deploy	cli-owner	contributor bundle recreation could mutate app internals unsafely	create_app_bundle replaces whole contributor app bundle and signs or notarizes opportunistically	shell audit	RIURD-4,RIURD-5
RIURD-INV-016	scripts/tron-lib.d/auth.sh	setup_install	cli-owner	login/auth helper could collide with install cleanup	Auth helpers remain runtime auth surface and do not start deploy paths	shell audit	RIURD-3,RIURD-4
RIURD-INV-017	.github/workflows/ci.yml	docs_ci	ci-owner	GitHub static gates can miss release/install drift	Rust static-gates run RIURD target; iOS tracks generated project drift; Mac generates ignored project before build/test	release_install_upgrade_rollback_discipline_invariants	RIURD-7,RIURD-8,RIURD-9,RIURD-10
