id	old_path_patterns	feature_family	classification	current_replacement	user_value_hypothesis	modern_interpretation	data_authority_owner	functional_without_agent_backend	future_slice_order	evidence_source	validation_requirement	phase2_bucket_refs	scorecard_rows
IARM-SURFACE-001	packages/ios-app/.claude/	legacy iOS rule evidence	phase1_review_only	none	Old path-scoped rules show legacy intent and guardrails for removed iOS surfaces.	Treat as evidence while using current AGENTS and scorecard rules as authority.	repo evidence	review	not_scheduled	git diff old reference to HEAD	static coverage only	not_applicable	IARM-1,IARM-6
IARM-SURFACE-002	packages/ios-app/docs/	legacy iOS docs evidence	phase1_review_only	packages/ios-app/docs/architecture.md;packages/ios-app/docs/events.md	Old APNs and capability UI docs identify concepts that may be useful signals later.	Retain as evidence only; current docs govern current behavior.	iOS docs	review	not_scheduled	git diff old reference to HEAD	static coverage only	BPRC-FEATURE-12;BPRC-FEATURE-21	IARM-1,IARM-5
IARM-SURFACE-003	packages/ios-app/Tests/	legacy test evidence	phase1_review_only	current focused Swift tests under packages/ios-app/Tests	Old tests identify removed behaviors and expected affordance edges.	Use old test names as review prompts; write new tests from current architecture.	iOS tests	review	not_scheduled	git diff old reference to HEAD	static coverage only	not_applicable	IARM-1,IARM-7
IARM-SURFACE-004	packages/ios-app/Sources/App/	app lifecycle shell	superseded_current_shell	packages/ios-app/Sources/App/Lifecycle	App lifecycle moved into current shell ownership.	Keep current lifecycle composition; do not restore old app delegate behavior unless a platform affordance requires it.	iOS app lifecycle	yes	not_scheduled	git diff old reference to HEAD	current lifecycle tests and source guards	not_applicable	IARM-1,IARM-2
IARM-SURFACE-005	packages/ios-app/Sources/Core/Events/;packages/ios-app/Sources/Models/Events/EventTypeRegistry.swift;packages/ios-app/Sources/Models/UnifiedEventTransformer.swift	event protocol and plugin breadth	phase2_agent_execution	packages/ios-app/Sources/Engine/Events	Old event plugins mixed retained chat events with removed approvals, hooks, memory, queues, repo, process, subagent, and worktree events.	Keep generic event shell; restore product event families only with module-owned versioned server events.	server event protocol	no	phase2_full_plan	git ls-tree old Core/Events plus diff coverage	iOS decoder/plugin tests after each server event contract	BPRC-FEATURE-07;BPRC-FEATURE-09;BPRC-FEATURE-10;BPRC-FEATURE-17;BPRC-FEATURE-21	IARM-2,IARM-5
IARM-SURFACE-006	packages/ios-app/Sources/Core/Repositories/;packages/ios-app/Sources/Database/;packages/ios-app/Sources/Protocols/DatabaseTransport.swift;packages/ios-app/Sources/Protocols/EventDatabaseProtocol.swift;packages/ios-app/Sources/Services/Events/	event database and repository projection	superseded_current_shell	packages/ios-app/Sources/Engine/Persistence	Local event cache and repository boundaries remain useful and already exist in the current shell.	Prefer current persistence owners; add product projections only after server module contracts exist.	iOS persistence cache	yes	not_scheduled	git diff old reference to HEAD	database/reconstruction tests for actual future changes	BPRC-FEATURE-20;BPRC-FEATURE-22	IARM-1,IARM-2
IARM-SURFACE-007	packages/ios-app/Sources/Models/EngineProtocol/;packages/ios-app/Sources/Models/ProtocolConstants.swift;packages/ios-app/Sources/Protocols/EngineClientProtocol.swift;packages/ios-app/Sources/Protocols/EngineTransport.swift;packages/ios-app/Sources/Protocols/LoggingContext.swift	engine protocol DTO breadth	phase2_agent_execution	packages/ios-app/Sources/Engine/Protocol;packages/ios-app/Sources/Engine/Transport	Old DTO/client breadth included removed approvals, cron, filesystem, git, import, media, notifications, prompt library, skills, and worktrees.	Reintroduce DTOs only from current server module contracts, never stale old models.	server protocol contracts	no	phase2_full_plan	git diff old reference to HEAD	protocol decoder/client tests per restored module	BPRC-FEATURE-20;BPRC-FEATURE-21	IARM-2,IARM-5
IARM-SURFACE-008	packages/ios-app/Sources/Services/Network/	network client breadth	phase2_agent_execution	packages/ios-app/Sources/Engine/Transport/Clients	Old network clients exposed many removed product domains.	Keep current thin clients; add clients only when a module contract exists and has tests.	server protocol contracts	no	phase2_full_plan	git diff old reference to HEAD	client tests per restored module	BPRC-FEATURE-01;BPRC-FEATURE-02;BPRC-FEATURE-03;BPRC-FEATURE-04;BPRC-FEATURE-05;BPRC-FEATURE-11;BPRC-FEATURE-14;BPRC-FEATURE-15;BPRC-FEATURE-16;BPRC-FEATURE-18;BPRC-FEATURE-23	IARM-2,IARM-5
IARM-SURFACE-009	packages/ios-app/Sources/Core/DI/;packages/ios-app/Sources/Core/AppConstants.swift;packages/ios-app/Sources/Core/Concurrency/;packages/ios-app/Sources/Extensions/;packages/ios-app/Sources/IconLayers/;packages/ios-app/Sources/Theme/;packages/ios-app/Sources/Utilities/;packages/ios-app/Sources/Services/Infrastructure/	composition foundation theme and utility shell	superseded_current_shell	packages/ios-app/Sources/Support;packages/ios-app/Sources/UI/Theme;packages/ios-app/Sources/Resources	Most foundation, formatting, media helper, theme, typography, and icon-layer behavior moved into current Support/UI/Resources owners.	Keep current hierarchy; future visual work should polish current liquid-glass utility surfaces rather than copy legacy structure.	iOS support and theme	yes	phase1_slice_4	git diff old reference to HEAD	theme and source guard tests for actual UI changes	not_applicable	IARM-1,IARM-2,IARM-4
IARM-SURFACE-010	packages/ios-app/Sources/Services/Diagnostics/;packages/ios-app/Sources/Services/Observability/;packages/ios-app/Sources/Services/Feedback/;packages/ios-app/Sources/Services/Onboarding/;packages/ios-app/Sources/Services/Settings/;packages/ios-app/Sources/Services/Storage/;packages/ios-app/Sources/Services/DraftStore.swift;packages/ios-app/Sources/Services/Models/;packages/ios-app/Sources/Services/Parsing/;packages/ios-app/Sources/Services/PairingURLParser.swift	current support services	phase1_server_fact	packages/ios-app/Sources/Support;packages/ios-app/Sources/Engine/Models	Diagnostics, feedback, onboarding, pairing, storage, input history, and model filtering remain high-value app affordances.	Polish these as native iOS surfaces over current server facts and local cache state.	iOS support services	yes	phase1_slice_5	git diff old reference to HEAD	focused iOS tests plus simulator screenshots for actual UI changes	BPRC-FEATURE-23	IARM-2,IARM-4
