id	record_type	path_or_surface	owner	classification	current_state	proof	regression_gate	scorecard_rows
IOSAC-ARTIFACT-01	scorecard	packages/agent/docs/ios-self-adapting-agent-cockpit-baseline-scorecard.md	agent docs	closeout proof	retained	Scorecard weights and row closure describe the completed cockpit baseline; it does not add successor capability implementation.	ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-0/IOSAC-8/IOSAC-9/IOSAC-10
IOSAC-ARTIFACT-02	evidence	packages/agent/docs/ios-self-adapting-agent-cockpit-baseline-evidence-manifest.md	agent docs	closeout proof	retained	Command evidence, failed attempts, and simulator baseline are recorded.	ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-7/IOSAC-8/IOSAC-10
IOSAC-ARTIFACT-03	inventory	packages/agent/docs/ios-self-adapting-agent-cockpit-baseline-inventory.md	agent docs	closeout proof	retained	Human-readable retained/absent surface inventory.	ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-8/IOSAC-9
IOSAC-ARTIFACT-04	inventory	packages/agent/docs/ios-self-adapting-agent-cockpit-baseline-inventory.tsv	agent docs	closeout proof	retained	Machine-readable cockpit inventory.	ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-8/IOSAC-9
IOSAC-SOURCE-01	dto	packages/ios-app/Sources/Engine/Protocol/WorkerLifecycle/EngineProtocolTypes+WorkerLifecycle.swift	iOS engine protocol	client projection	retained	Decodes worker/function/trigger catalog entries, resource rows, lifecycle results, and ui_surface kind.	WorkerLifecycleDTOTests/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-1/IOSAC-4
IOSAC-SOURCE-02	client	packages/ios-app/Sources/Engine/Transport/Clients/WorkerLifecycleClient.swift	iOS engine transport	client boundary	retained	Calls only existing catalog, resource, and worker_lifecycle functions.	WorkerLifecycleClientTests/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-1/IOSAC-3
IOSAC-SOURCE-03	repository	packages/ios-app/Sources/Engine/Transport/Clients/Repositories/Defaults/Protocols/EngineAccessRepositories.swift	iOS engine repository	protocol boundary	retained	Exposes WorkerLifecycleRepository as SwiftUI/session-facing protocol.	ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-1/IOSAC-5
IOSAC-SOURCE-04	repository	packages/ios-app/Sources/Engine/Transport/Clients/Repositories/Defaults/DefaultEngineAccessRepositories.swift	iOS engine repository	composition adapter	retained	Adapts WorkerLifecycleClient to WorkerLifecycleRepository.	ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-1/IOSAC-5
IOSAC-SOURCE-05	state	packages/ios-app/Sources/Session/WorkerLifecycle/AgentCockpitState.swift	iOS session state	pure projection	retained	Projects catalog/resources into cockpit status, rows, actions, confirmations, activity, and runtime surfaces.	AgentCockpitStateTests/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-2/IOSAC-3/IOSAC-4
IOSAC-SOURCE-06	state	packages/ios-app/Sources/Session/WorkerLifecycle/AgentCockpitViewModel.swift	iOS session state	view model	retained	Refreshes server facts, decodes active ui_surface resources, and executes confirmed lifecycle actions.	AgentCockpitViewModelTests/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-2/IOSAC-3/IOSAC-4
IOSAC-SOURCE-07	ui	packages/ios-app/Sources/UI/AgentCockpit/AgentCockpitViews.swift	iOS UI	user-facing diagnostics shell	retained	Renders cockpit tabs, package actions, activity, and generated runtime surfaces without the removed passive chat capsule.	xcodebuild/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-4/IOSAC-5
IOSAC-SOURCE-08	ui	packages/ios-app/Sources/UI/Settings/Pages/ConnectionSettingsPage.swift	iOS UI	diagnostics integration	retained	Opens AgentCockpitSheet from the compact Servers Diagnostics Runtime Cockpit row.	xcodebuild/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-5
IOSAC-SOURCE-09	ui	packages/ios-app/Sources/UI/Chat/Shell/ChatView.swift	iOS UI	chat absence guard	placement_removed	Does not mount AgentCockpitViewModel, AgentStatusCapsuleView, or cockpit refresh calls during chat load.	SourceGuardTests/ios_self_adapting_agent_cockpit_baseline_invariants	IOSAC-5/IOSAC-8
