current_path	target_path	package	area	owner	classification	reason	phase	status	notes
.codex/environments/environment.toml	.codex/environments/environment.toml	codex	.codex/environments	codex runtime owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.codex/skills/tron-ios-beta/SKILL.md	.codex/skills/tron-ios-beta/SKILL.md	codex	.codex/skills/tron-ios-beta	codex runtime owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/ISSUE_TEMPLATE/bug_report.yml	.github/ISSUE_TEMPLATE/bug_report.yml	github	.github/ISSUE_TEMPLATE	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/ISSUE_TEMPLATE/config.yml	.github/ISSUE_TEMPLATE/config.yml	github	.github/ISSUE_TEMPLATE	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/ISSUE_TEMPLATE/feature_request.yml	.github/ISSUE_TEMPLATE/feature_request.yml	github	.github/ISSUE_TEMPLATE	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/dependabot.yml	.github/dependabot.yml	github	.github	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/pull_request_template.md	.github/pull_request_template.md	github	.github	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/workflows/ci.yml	.github/workflows/ci.yml	github	.github/workflows	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/workflows/release-ios.yml	.github/workflows/release-ios.yml	github	.github/workflows	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.github/workflows/release-mac.yml	.github/workflows/release-mac.yml	github	.github/workflows	workflow owner	external_boundary	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
.gitignore	.gitignore	repo	.	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
AGENTS.md	AGENTS.md	repo	.	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
CONTRIBUTING.md	CONTRIBUTING.md	repo	.	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
README.md	README.md	repo	.	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
VERSION.env	VERSION.env	repo	.	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/.gitignore	packages/agent/.gitignore	agent	packages/agent	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/Cargo.lock	packages/agent/Cargo.lock	agent	packages/agent	repo owner	generated	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/Cargo.toml	packages/agent/Cargo.toml	agent	packages/agent	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/active.toml	packages/agent/defaults/profiles/active.toml	agent	packages/agent/defaults/profiles	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/auth.json	packages/agent/defaults/profiles/auth.json	agent	packages/agent/defaults/profiles	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/auth.toml	packages/agent/defaults/profiles/auth.toml	agent	packages/agent/defaults/profiles	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/chat/profile.toml	packages/agent/defaults/profiles/chat/profile.toml	agent	packages/agent/defaults/profiles/chat	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/default/profile.toml	packages/agent/defaults/profiles/default/profile.toml	agent	packages/agent/defaults/profiles/default	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/local/profile.toml	packages/agent/defaults/profiles/local/profile.toml	agent	packages/agent/defaults/profiles/local	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/normal/profile.toml	packages/agent/defaults/profiles/normal/profile.toml	agent	packages/agent/defaults/profiles/normal	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/defaults/profiles/user/profile.toml	packages/agent/defaults/profiles/user/profile.toml	agent	packages/agent/defaults/profiles/user	repo owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	packages/agent/docs/hierarchical-rearchitecture-current-ownership-map.tsv	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-evidence-manifest.md	packages/agent/docs/hierarchical-rearchitecture-evidence-manifest.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	packages/agent/docs/hierarchical-rearchitecture-file-inventory.tsv	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-inventory.md	packages/agent/docs/hierarchical-rearchitecture-inventory.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-ios-current-ownership-map.tsv	packages/agent/docs/hierarchical-rearchitecture-ios-current-ownership-map.tsv	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-ios-project-map.md	packages/agent/docs/hierarchical-rearchitecture-ios-project-map.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-plan-summary.md	packages/agent/docs/hierarchical-rearchitecture-plan-summary.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/hierarchical-rearchitecture-scorecard.md	packages/agent/docs/hierarchical-rearchitecture-scorecard.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/post-hra-adversarial-hardening-evidence-manifest.md	packages/agent/docs/post-hra-adversarial-hardening-evidence-manifest.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
packages/agent/docs/post-hra-adversarial-hardening-plan-summary.md	packages/agent/docs/post-hra-adversarial-hardening-plan-summary.md	agent	packages/agent/docs	closeout plan owner	retain_in_place	PAC-9 added a redacted AHA plan digest for durable in-repo provenance.	PAC-9	passed_after_fix	current owner verified; no external AHA plan dependency or open row retained
packages/agent/docs/post-hra-adversarial-hardening-scorecard.md	packages/agent/docs/post-hra-adversarial-hardening-scorecard.md	agent	packages/agent/docs	agent docs owner	retain_in_place	AHA-9 refreshed current tracked ownership after inventory provenance cleanup.	AHA-9	passed_after_fix	current owner verified; no external HRA plan dependency or open row retained
