id	path	surface_kind	owner	classification	proof	evidence_policy	scorecard_rows
DESI-INV-001	packages/agent/docs/documentation-evidence-scorecard-integrity-scorecard.md	scorecard	desi-docs-owner	active_current	DESI invariant parses row totals and closed status	Current scorecard must stay present-tense and 100/100	DESI-0,DESI-4,DESI-10
DESI-INV-002	packages/agent/docs/documentation-evidence-scorecard-integrity-evidence-manifest.md	evidence_manifest	desi-docs-owner	active_current	DESI invariant checks required commands and no placeholders	Current evidence must record concrete command results	DESI-3,DESI-8,DESI-10
DESI-INV-003	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.md	inventory	desi-docs-owner	active_current	DESI invariant checks taxonomy and handoff facts	Current inventory explains active versus historical classification	DESI-1,DESI-5,DESI-9
DESI-INV-004	packages/agent/docs/documentation-evidence-scorecard-integrity-inventory.tsv	inventory	desi-docs-owner	active_current	DESI invariant checks TSV schema and rows	Machine-readable inventory must cover retained documentation boundaries	DESI-1,DESI-5,DESI-10
DESI-INV-005	packages/agent/tests/documentation_evidence_scorecard_integrity_invariants.rs	invariant_test	desi-test-owner	active_current	cargo test --test documentation_evidence_scorecard_integrity_invariants	Static guard enforces DESI closeout claims	DESI-3,DESI-4,DESI-5,DESI-7,DESI-8,DESI-10
DESI-INV-006	codex/documentation-evidence-scorecard-integrity	branch_handoff	branch-owner	quarry_only	git branch --list records stale branch at f931c3126a2ee62940f42512278715c9c65c2079	Stale branch may be inspected only as quarry evidence	DESI-0,DESI-9
DESI-INV-007	README.md	root_doc	root-docs-owner	active_current	DESI invariant checks DESI references and stale wording	Canonical map must describe current behavior	DESI-2,DESI-6,DESI-8
DESI-INV-008	AGENTS.md	root_doc	project-rules-owner	source_truth	Project rules require docs tests and README maintenance	Rule doc governs contributor expectations	DESI-1,DESI-6
DESI-INV-009	.github/workflows/ci.yml	github_gate	ci-owner	active_current	DESI invariant parses rust-static-gates target order	GitHub target list must mirror local closeout order	DESI-7,DESI-8,DESI-10
DESI-INV-010	.github/pull_request_template.md	review_template	review-workflow-owner	active_current	DESI adds scorecard evidence inventory checklist	Review checklist must keep evidence provenance visible	DESI-6,DESI-8
DESI-INV-011	scripts/tron.d/quality.sh	local_gate	quality-script-owner	active_current	DESI invariant parses closeout_test_targets	Local closeout target order must mirror GitHub	DESI-7,DESI-10
DESI-INV-012	packages/agent/src/engine/mod.rs	root_doc	engine-doc-owner	source_truth	Engine module docs describe retained substrate in present tense	Progressive docs must not claim future cleanup for closed rows	DESI-2,DESI-6,DESI-8
DESI-INV-013	packages/agent/docs/hierarchical-rearchitecture-inventory.md	inventory	hra-docs-owner	predecessor_index	HRA summary now names DESI refresh	HRA current ownership docs must not omit later inventory refreshes	DESI-5,DESI-6
DESI-INV-014	packages/ios-app/docs/architecture.md	platform_docs	ios-docs-owner	active_current	README links iOS architecture docs	Platform docs are active current references	DESI-1,DESI-6
DESI-INV-015	packages/ios-app/docs/development.md	platform_docs	ios-docs-owner	active_current	README links iOS development docs	Platform docs are active current references	DESI-1,DESI-6
DESI-INV-016	packages/ios-app/docs/events.md	platform_docs	ios-docs-owner	active_current	README links iOS events docs	Platform docs are active current references	DESI-1,DESI-6
DESI-INV-017	packages/mac-app/docs/architecture.md	platform_docs	mac-docs-owner	active_current	README links Mac architecture docs	Platform docs are active current references	DESI-1,DESI-6
DESI-INV-018	packages/mac-app/docs/development.md	platform_docs	mac-docs-owner	active_current	README and DXRHA inventory link Mac development docs	Platform docs are active current references	DESI-1,DESI-6
DESI-INV-019	packages/agent/tests/db_path_guard.rs	invariant_test	storage-test-owner	active_current	Local and GitHub closeout targets run db_path_guard	Named static gate remains part of closeout evidence	DESI-1,DESI-7
DESI-INV-020	packages/agent/tests/primitive_trace_execution.rs	invariant_test	trace-test-owner	active_current	Local and GitHub closeout targets run primitive_trace_execution	Named static gate remains part of closeout evidence	DESI-1,DESI-7
DESI-INV-021	packages/agent/tests/integration.rs	invariant_test	integration-test-owner	active_current	Local and GitHub closeout targets run integration last	Serial integration target remains final in local and GitHub closeout order	DESI-1,DESI-7
DESI-INV-022	packages/agent/tests/concurrency_scheduling_discipline_invariants.rs	invariant_test	csd-test-owner	active_current	README and closeout target list include CSD	CSD invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-023	packages/agent/tests/configuration_profile_environment_discipline_invariants.rs	invariant_test	cpe-test-owner	active_current	README and closeout target list include CPE	CPE invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-024	packages/agent/tests/data_integrity_storage_evolution_migration_discipline_invariants.rs	invariant_test	dsemd-test-owner	active_current	README and closeout target list include DSEMD	DSEMD invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-025	packages/agent/tests/determinism_replayability_invariants.rs	invariant_test	drc-test-owner	active_current	README and closeout target list include DRC	DRC invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-026	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	invariant_test	dxrha-test-owner	active_current	README and closeout target list include DXRHA	DXRHA invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-027	packages/agent/tests/failure_semantics_invariants.rs	invariant_test	fsc-test-owner	active_current	README and closeout target list include FSC	FSC invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-028	packages/agent/tests/hierarchical_rearchitecture_invariants.rs	invariant_test	hra-test-owner	active_current	README and closeout target list include HRA	HRA invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-029	packages/agent/tests/ios_thin_client_generic_runtime_shell_invariants.rs	invariant_test	iostc-test-owner	active_current	README and closeout target list include IOSTC	IOSTC invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-030	packages/agent/tests/observability_diagnostics_auditability_invariants.rs	invariant_test	oda-test-owner	active_current	README and closeout target list include ODA	ODA invariant remains retained closeout proof	DESI-1,DESI-7
DESI-INV-031	packages/agent/tests/off_plan_saa_authorship_teardown_cleanup_invariants.rs	invariant_test	opsaa-test-owner	active_current	README and closeout target list include the off-plan authorship teardown target	Off-plan authorship teardown invariant remains retained closeout proof	DESI-1,DESI-7
