id	path	surface_kind	owner	workflow_rule	local_proof	github_or_remote_proof	scorecard_rows
DXRHA-INV-001	packages/agent/docs/developer-experience-repo-hygiene-automation-scorecard.md	static_gate	dxrha-docs-owner	Weighted closure ledger for the DXRHA slice	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-0,DXRHA-8,DXRHA-10
DXRHA-INV-002	packages/agent/docs/developer-experience-repo-hygiene-automation-evidence-manifest.md	branch_handoff	dxrha-docs-owner	Command evidence and handoff ledger for DXRHA closeout	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-0,DXRHA-9,DXRHA-10
DXRHA-INV-003	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.md	docs_upkeep	dxrha-docs-owner	Narrative taxonomy for workflow surfaces	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-1,DXRHA-8
DXRHA-INV-004	packages/agent/docs/developer-experience-repo-hygiene-automation-inventory.tsv	static_gate	dxrha-docs-owner	Machine-readable workflow surface map	developer_experience_repo_hygiene_automation_invariants	README living-doc reference	DXRHA-1,DXRHA-10
DXRHA-INV-005	packages/agent/tests/developer_experience_repo_hygiene_automation_invariants.rs	tests	dxrha-test-owner	Static gate ties artifacts, source guards, local/GitHub parity, ignored files, and predecessor rows together	cargo test --test developer_experience_repo_hygiene_automation_invariants	GitHub rust-static-gates	DXRHA-2,DXRHA-3,DXRHA-5,DXRHA-10
DXRHA-INV-006	scripts/tron	setup	script-owner	Root CLI exposes setup, install, dev, CI, version, manual-deploy, and service commands without a deploy alias	README CLI reference	source dispatch audit	DXRHA-2,DXRHA-6,DXRHA-9
DXRHA-INV-007	scripts/tron.d/dev.sh	dev_server	dev-script-owner	`tron dev` stops production ownership of port 9847, supports JSON/background waits, and restores installed helper through health gate	dev.sh source guard	README and Mac docs	DXRHA-2,DXRHA-6
DXRHA-INV-008	scripts/tron.d/quality.sh	local_ci	quality-script-owner	Local CI closeout target list includes DXRHA in the same order as GitHub static gates	parsed by DXRHA invariant	GitHub static-gates parity	DXRHA-3,DXRHA-10
DXRHA-INV-009	.github/workflows/ci.yml	github_ci	ci-owner	Rust static gates mirror local closeout targets and platform jobs guard generated projects	parsed by DXRHA invariant	GitHub Actions config	DXRHA-3,DXRHA-4,DXRHA-10
DXRHA-INV-010	.github/pull_request_template.md	docs_upkeep	review-workflow-owner	PR checklist keeps local closeout hygiene visible before review	DXRHA invariant	source review template	DXRHA-2,DXRHA-8
DXRHA-INV-011	CONTRIBUTING.md	docs_upkeep	contributor-docs-owner	Contributor docs describe setup, `tron dev --stop`, Mac helper staging, and manual-only deployment	DXRHA invariant	README parity	DXRHA-2,DXRHA-6,DXRHA-8
DXRHA-INV-012	README.md	docs_upkeep	root-docs-owner	Canonical docs list DXRHA artifacts, CLI workflow, runtime state, generated projects, release boundaries, and closeout tests	DXRHA invariant	README maintenance table	DXRHA-6,DXRHA-8,DXRHA-10
DXRHA-INV-013	AGENTS.md	docs_upkeep	project-rules-owner	Project rules require code/tests/docs together, README maintenance, generated project discipline, and no production deploys	source audit	project rules	DXRHA-8,DXRHA-10
DXRHA-INV-014	scripts/install-hooks.sh	local_ci	hooks-owner	Pre-commit hooks install local formatting and personal-info guard checks	source audit	CONTRIBUTING hook docs	DXRHA-2,DXRHA-5
