area	owner	class	evidence	status	nextAction
minimal_kernel_authority	packages/agent/src/engine/authority/mod.rs	kernel_locked	exact grant resolution stays engine-owned and capability_binding route writes require explicit resource selectors	passed	none
minimal_kernel_transport	packages/agent/src/transport/engine/mod.rs	kernel_locked	engine transport remains authenticated request framing and not domain behavior	passed	none
minimal_kernel_event_log	packages/agent/src/domains/session/event_store/mod.rs	kernel_locked	session event truth and reconstruction stay server-owned	passed	none
minimal_kernel_resource_custody	packages/agent/src/engine/durability/resources/mod.rs	kernel_locked	typed resources carry record-plane and module-produced evidence	passed	none
minimal_kernel_redaction	packages/agent/src/shared/foundation/redaction.rs	kernel_locked	shared redaction and provider-safe projections remain server-owned	passed	none
minimal_kernel_trace_replay_catalog	packages/agent/src/domains/catalog_discovery/mod.rs	kernel_locked	trace replay and catalog discovery are trust substrate, not replacement routes	passed	none
module_governance_pipeline	packages/agent/src/domains/module_runtime/mod.rs	governance_locked	module registry authoring validation install dependencies lifecycle runtime and binding govern replacement	passed	none
capability_route_contract	packages/agent/src/domains/capability_binding/route.rs	governance_locked	candidates bindings activations events rollbacks stale guards and fail-closed route resolution are server-owned	passed	none
context_policy_contract	packages/agent/src/domains/context_control/mod.rs	record_plane	context survivor exclusion policy snapshots and action records constrain future summarizers	passed	none
cockpit_visibility_contract	packages/agent/src/domains/capability_binding/cockpit_visibility.rs	read_only_projection	route stories and operation drill-downs derive from server-owned route and binding facts	passed	none
honest_boundary	packages/agent/docs/capability-dynamic-replacement-scorecard.md	scorecard	first scoped read-only git_status route is proven; broad autonomous replacement remains future governed trials	passed	none
