id	path	surface_kind	owner	thin_client_boundary	proof	ios_tests	scorecard_rows
IOSTC-INV-001	packages/agent/docs/ios-thin-client-generic-runtime-shell-scorecard.md	campaign_harness	iostc-docs-owner	Weighted closure ledger for the current-lineage iOS thin-client slice	ios_thin_client_generic_runtime_shell_invariants	scorecard static gate	IOSTC-0,IOSTC-9,IOSTC-10
IOSTC-INV-002	packages/agent/docs/ios-thin-client-generic-runtime-shell-evidence-manifest.md	campaign_harness	iostc-docs-owner	Command and source-audit evidence ledger for IOSTC closeout	ios_thin_client_generic_runtime_shell_invariants	evidence static gate	IOSTC-0,IOSTC-8,IOSTC-10
IOSTC-INV-003	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.md	campaign_harness	iostc-docs-owner	Narrative taxonomy for retained iOS shell surfaces	ios_thin_client_generic_runtime_shell_invariants	inventory static gate	IOSTC-1,IOSTC-9
IOSTC-INV-004	packages/agent/docs/ios-thin-client-generic-runtime-shell-inventory.tsv	campaign_harness	iostc-docs-owner	Machine-readable surface ownership and proof map	ios_thin_client_generic_runtime_shell_invariants	inventory static gate	IOSTC-1,IOSTC-10
IOSTC-INV-005	packages/agent/tests/ios_thin_client_generic_runtime_shell_invariants.rs	campaign_harness	iostc-test-owner	Static gate ties artifacts, source guards, tests, CI, and predecessor wiring together	cargo test --test ios_thin_client_generic_runtime_shell_invariants	static gate	IOSTC-2,IOSTC-4,IOSTC-8,IOSTC-10
IOSTC-INV-006	packages/ios-app/docs/architecture.md	docs_ci	ios-doc-owner	Architecture doc states iOS is a SwiftUI /engine shell and lists deleted product modes	docs audit	SourceGuardTests	IOSTC-1,IOSTC-2,IOSTC-9
IOSTC-INV-007	packages/ios-app/docs/development.md	docs_ci	ios-doc-owner	Development doc records XcodeGen, simulator, pairing, diagnostics, and focused testing workflow	docs audit	iOS simulator command evidence	IOSTC-3,IOSTC-8,IOSTC-9
IOSTC-INV-008	packages/ios-app/docs/events.md	docs_ci	ios-doc-owner	Event docs define live plugin and stored reconstruction boundary without product panels	docs audit	EventTypeRegistryTests	IOSTC-5,IOSTC-9
IOSTC-INV-009	packages/ios-app/docs/onboarding.md	docs_ci	ios-doc-owner	Onboarding docs define pairing, setup hydration, token custody, and disconnected recovery	docs audit	PairingValidationTests,PairingURLParserTests	IOSTC-3,IOSTC-6,IOSTC-9
IOSTC-INV-010	README.md	docs_ci	project-docs-owner	Root canonical doc describes iOS thin shell, generated project policy, test target, and IOSTC artifacts	ios_thin_client_generic_runtime_shell_invariants	README static gate	IOSTC-8,IOSTC-9,IOSTC-10
IOSTC-INV-011	packages/ios-app/project.yml	generated_project	ios-project-owner	XcodeGen source owns iOS targets, schemes, tests, and build settings	xcodegen drift check	Generated project tests	IOSTC-8
IOSTC-INV-012	packages/ios-app/TronMobile.xcodeproj/project.pbxproj	generated_project	ios-project-owner	Tracked generated project must match project.yml after xcodegen generate	git diff --exit-code	Focused simulator tests	IOSTC-8,IOSTC-10
IOSTC-INV-013	packages/ios-app/Sources/Engine/Protocol/Core/ProtocolConstants.swift	ios_protocol	ios-engine-protocol-owner	Protocol constants are DTO constants only, not server behavior	ProtocolConstantsTests	ProtocolConstantsTests	IOSTC-1,IOSTC-2
IOSTC-INV-014	packages/ios-app/Sources/Engine/Protocol/Core/EngineProtocolTypes.swift	ios_protocol	ios-engine-protocol-owner	Core /engine envelopes remain client request/response DTOs	EngineProtocolTypesTests	EngineProtocolTypesTests	IOSTC-1,IOSTC-2
IOSTC-INV-015	packages/ios-app/Sources/Engine/Protocol/Core/FailurePayload.swift	ios_protocol	ios-engine-protocol-owner	Canonical failure envelope is decoded from server payloads instead of invented client taxonomy	ErrorEventProjectionTests	ErrorEventProjectionTests	IOSTC-5,IOSTC-6
IOSTC-INV-016	packages/ios-app/Sources/Engine/Protocol/Settings/EngineProtocolTypes+Settings.swift	ios_settings	ios-settings-protocol-owner	ServerSettings and ServerSettingsUpdate mirror current server settings and sparse update shape	ServerSettingsTests,SettingsParityTests	ServerSettingsTests,SettingsParityTests	IOSTC-4
IOSTC-INV-017	packages/ios-app/Sources/Engine/Protocol/Auth/EngineProtocolTypes+Auth.swift	ios_pairing_auth	ios-auth-protocol-owner	Auth DTOs expose masked credential status and writes through server auth capabilities only	EngineProtocolTypesAuthTests,AuthClientTests	EngineProtocolTypesAuthTests	IOSTC-3
IOSTC-INV-018	packages/ios-app/Sources/Engine/Protocol/Events/EngineProtocolTypes+Events.swift	ios_events	ios-event-protocol-owner	Event DTOs decode server-authored event rows without product-panel normalization	MessagePayloadTests,EventTypeRegistryTests	EventTypeRegistryTests	IOSTC-5
